name,phone,website,address,primary_type,industry_bucket,mobility_fit,security_fit,voip_fit,fleet_attach,rating,review_count,total_score,ai_reason
Fictional Northern Plumbing Ltd.,+1 709-555-0101,https://www.fictional-northernplumbing.example/,"123 Harbour View Rd, Fictville, NL A1A 0A1",plumber,plumbing,88,60,45,50,4.6,38,92.5,Field plumbing and drain service with technician dispatch and after-hours on-call. High mobility need for GPS routing and scheduling. Moderate security for equipment tracking. VoIP supports dispatch callbacks.
Synthetic Atlantic HVAC Services,+1 709-555-0102,https://www.synthetic-atlantichvac.example/,"456 Trade Park Ave, Fictville, NL A1B 0B2",hvac_contractor,hvac,85,55,50,45,4.4,22,88.75,Commercial and residential HVAC installation and maintenance. Multiple service vans require fleet and mobility solutions. Moderate security for customer data and remote diagnostics.
Invented Eastcoast Electrical Inc.,+1 709-555-0103,https://www.invented-eastcoastelectrical.example/,"789 Industrial Blvd, Madeuptown, NL A2A 0C3",electrician,electrical_contractor,85,70,55,40,4.8,15,89.75,Licensed electrical contractor serving commercial and industrial clients. Field-heavy with multiple crews dispatched daily. Security fit reflects regulatory compliance and safety documentation requirements.
Fabricated Bay Freight Corp.,+1 709-555-0104,https://www.fabricated-bayfreight.example/,"12 Wharf St, Inventedport, NL A0A 0D4",moving_company,logistics_transportation,90,65,55,80,4.0,12,86.5,Regional freight and trucking with coordinated driver dispatch and load tracking. High mobility and fleet attach for route management across NL highways. Dispatcher model confirmed.
Placeholder Harbour Security Ltd.,+1 709-555-0105,,"34 Commerce Dr, Fictville, NL A1A 0E5",security_system_supplier,security,55,90,60,30,4.2,8,70.5,Commercial security system installation and monitoring. High security fit for access control and surveillance product lines. Mobility moderate for installation crews responding to service calls.
Notreal NL Construction Group,+1 709-555-0106,https://www.notreal-nlconstruction.example/,"56 Contractor Ln, Buildville, NL A3B 0F6",general_contractor,construction,85,60,50,60,4.3,31,87.25,General contractor on residential and light industrial projects. Fleet of trucks and equipment requiring mobile connectivity and scheduling. After-hours availability for emergency site calls.
Synthetic Clarenville Towing,+1 709-555-0107,,"78 Trans-Canada Hwy, Clarenvillage, NL A5A 0G7",towing_service,towing_roadside,85,50,45,75,4.5,19,83.25,24/7 towing and roadside assistance operating on a dispatcher model with multiple trucks. High fleet attach and mobility. After-hours signal confirmed by round-the-clock operation.
Fictional Marine Maintenance NL,+1 709-555-0108,https://www.fictional-marinemaint.example/,"9 Drydock Rd, Portmade, NL A4C 0H8",boat_repair,marine_services,80,65,50,55,4.1,11,82.0,Marine engine repair and vessel maintenance with field technicians dispatched to wharves and dry docks. Moderate fleet. Security relevant for dock access and high-value equipment on site.
Invented Avalon Locksmith & Access,+1 709-555-0109,https://www.invented-avalonlocksmith.example/,"101 Key Blvd, Fictville, NL A1A 0I9",locksmith,locksmith_security,70,80,55,35,4.7,44,75.5,Commercial locksmith and access control installer with mobile technicians responding on-call. High security product affinity. VoIP useful for dispatch and customer callbacks.
Placeholder Peninsula Logistics Inc.,+1 709-555-0110,https://www.placeholder-peninsulalogistics.example/,"202 Warehouse Way, Storageton, NL A1N 0J1",warehouse,logistics,82,60,55,72,4.0,6,82.1,Warehouse and regional distribution operation. Fleet of delivery vans requiring route management and proof-of-delivery mobility tools. High fleet attach for coordinated last-mile runs.
Synthetic Corner Brook Welding,+1 709-555-0111,,"303 Fab Cres, Makeit, NL A2H 0K2",welding_service,industrial_services,78,65,45,40,4.3,9,77.35,Mobile welding and fabrication for industrial and marine clients. Single crew on dispatcher model. Moderate fleet attach. After-hours availability noted — strong mobility signal.
Notreal Western NL Fire Protection,+1 709-555-0112,https://www.notreal-wnlfireprotect.example/,"404 Safety Rd, Protectville, NL A2V 0L3",fire_protection_service,fire_safety,72,85,55,45,4.6,17,77.9,Fire suppression system inspection and installation. Certified technicians on scheduled and emergency calls. Regulatory compliance and documentation requirements drive high security fit.
Fabricated Goose Bay Propane Ltd.,+1 709-555-0113,https://www.fabricated-goosebaypropane.example/,"505 Energy Ave, Fueltown, NL A0P 0M4",propane_dealer,energy_utilities,80,55,45,70,3.9,5,78.75,Propane delivery and equipment service on a route-based model for residential and commercial customers. Mobility and fleet attach reflect scheduled and on-call delivery operations.
Invented Labrador Surveying Group,+1 709-555-0114,https://www.invented-labradorsurvey.example/,"606 Benchmark St, Linetown, NL A0V 0N5",surveyor,engineering_survey,82,60,50,50,4.4,3,80.6,Land and boundary surveying for construction and mining projects. Field crews in remote areas require reliable mobile data sync and GPS connectivity — strong mobility case.
Placeholder Twillingate Property Mgmt,+1 709-555-0115,https://www.placeholder-twillingateprop.example/,"707 Island Way, Oceanside, NL A0G 0O6",property_management,property_management,68,55,60,30,4.1,12,70.3,Residential property management coordinating maintenance contractors across island communities. Dispatches tradespeople and handles tenant calls — VoIP and mobile coordination are relevant.
